statecode,year,name,value
Nebraska,2014,Liam,149
Nebraska,2015,Henry,127
New Hampshire,2005,Jacob,147
New Hampshire,2006,Jacob,120
New Hampshire,2007,Jacob,126
New Hampshire,2008,Jacob,114
New Hampshire,2009,Logan,102
New Hampshire,2010,Logan,98
New Hampshire,2011,Mason,107
New Hampshire,2012,Mason,100
New Hampshire,2013,Liam,91
New Hampshire,2014,Jacob,89
New Hampshire,2015,Jackson,85
New Jersey,2005,Michael,1085
New Jersey,2006,Michael,1029
New Jersey,2007,Michael,984
New Jersey,2008,Michael,839
New Jersey,2009,Michael,803
New Jersey,2010,Michael,707
New Jersey,2011,Michael,698
New Jersey,2012,Michael,647
New Jersey,2013,Michael,605
New Jersey,2014,Michael,583
New Jersey,2015,Liam,569
New Mexico,2005,Joshua,196
New Mexico,2006,Joshua,167
New Mexico,2007,Jacob,172
New Mexico,2008,Isaiah,177
New Mexico,2009,Aiden,139
New Mexico,2010,Elijah,143
New Mexico,2011,Jacob,159
New Mexico,2012,Noah,128
New Mexico,2013,Noah,148
New Mexico,2014,Noah,125
New Mexico,2015,Noah,131
Nevada,2005,Anthony,223
Nevada,2006,Anthony,278
Nevada,2007,Anthony,254
Nevada,2008,Anthony,251
Nevada,2009,Anthony,221
Nevada,2010,Jacob,198
Nevada,2011,Anthony,192
Nevada,2012,Alexander,187
Nevada,2013,Ethan,167
Nevada,2014,Noah,192
Nevada,2015,Noah,184
New York,2005,Michael,2088
New York,2006,Michael,1982
New York,2007,Michael,1939
New York,2008,Michael,1747
New York,2009,Michael,1712
New York,2010,Michael,1514
New York,2011,Michael,1456
New York,2012,Michael,1388
New York,2013,Jacob,1297
New York,2014,Jacob,1300
New York,2015,Liam,1388
Ohio,2005,Jacob,1184
Ohio,2006,Jacob,1049
Ohio,2007,Jacob,1013
Ohio,2008,Jacob,945
Ohio,2009,Jacob,838
Ohio,2010,Jacob,754
Ohio,2011,Mason,889
Ohio,2012,Mason,852
Ohio,2013,Liam,789
Ohio,2014,Liam,720
Ohio,2015,Liam,688
Oklahoma,2005,Jacob,328
Oklahoma,2006,Jacob,345
Oklahoma,2007,Ethan,324
Oklahoma,2008,Ethan,266
Oklahoma,2009,Ethan,245
Oklahoma,2010,Jacob,232
Oklahoma,2011,William,233
Oklahoma,2012,Elijah,219
Oklahoma,2013,Mason,214
Oklahoma,2014,William,217
Oklahoma,2015,Elijah,213
Oregon,2005,Jacob,290
Oregon,2006,Jacob,288
Oregon,2007,Jacob,257
Oregon,2008,Ethan,232
Oregon,2009,Alexander,243
Oregon,2010,Jacob,240
Oregon,2011,Mason,221
Oregon,2012,Liam,244
Oregon,2013,Liam,261
Oregon,2014,Liam,211
Oregon,2015,Liam,222
Pennsylvania,2005,Michael,1112
Pennsylvania,2006,Jacob,1071
Pennsylvania,2007,Michael,1023
Pennsylvania,2008,Michael,928
Pennsylvania,2009,Michael,814
Pennsylvania,2010,Michael,826
Pennsylvania,2011,Mason,916
Pennsylvania,2012,Mason,868
Pennsylvania,2013,Mason,815
Pennsylvania,2014,Mason,790
Pennsylvania,2015,Mason,790
Rhode Island,2005,Michael,119
Rhode Island,2006,Ryan,101
Rhode Island,2007,Michael,97
Rhode Island,2008,Michael,89
Rhode Island,2009,Anthony,81
Rhode Island,2010,Logan,84
Rhode Island,2011,Mason,85
Rhode Island,2012,Mason,96
Rhode Island,2013,Liam,82
Rhode Island,2014,Mason,86
Rhode Island,2015,Noah,72
South Carolina,2005,William,434
South Carolina,2006,William,442
South Carolina,2007,William,405
South Carolina,2008,William,457
South Carolina,2009,William,417
South Carolina,2010,William,398
South Carolina,2011,William,410
South Carolina,2012,William,402
South Carolina,2013,William,342
South Carolina,2014,William,364
South Carolina,2015,William,357
South Dakota,2005,Jacob,80
South Dakota,2006,Jacob,81
South Dakota,2007,Ethan,72
South Dakota,2008,Jacob,56
South Dakota,2009,Ethan,72
South Dakota,2010,Jacob,68
South Dakota,2011,Mason,82
South Dakota,2012,Liam,72
South Dakota,2013,Liam,82
South Dakota,2014,Liam,57
South Dakota,2015,Oliver,62
Tennessee,2005,William,748
Tennessee,2006,William,697
Tennessee,2007,William,699
Tennessee,2008,William,705
Tennessee,2009,William,644
Tennessee,2010,William,569
Tennessee,2011,William,606
Tennessee,2012,William,580
Tennessee,2013,William,552
Tennessee,2014,William,545
Tennessee,2015,William,522
Texas,2005,Jose,2805
